Palabra,Largo de la Palabra,Tiempo A[s],Tiempo B[s],Tiempo A[ms],Tiempo B[ms]
bbbaaacaaaaaaaacbbcbabbaccbcaacbcacbbaabcbabaaabcacbbbccbbbcbaaaabaa,68,0.013289000,0.000531000,13.289,0.531
abbabbcacbabacaccbcccaaccbbaaaacabaabcaccbcbbacabcabcbaaccbaaabacbcabbbbaacabacbaabaacbbcbbcbaacaacaaababbbcbbcbabaaccacaaabbcccaabccbbcacbabaacbbcccabcabcacbbabcccbccbcacbbbcaaaccaaaaacabbcacaaacabcbbbbabaabcbacccbccacbaaccacbaabcbabcabbbbcabbabcaabacbaaccbccabccbccaacccbacaba,278,0.915914000,0.008616000,915.914,8.616
cbbbabbbabcbbababbbcbbbaaccbaccaabccc,37,0.002858000,0.000210000,2.858,0.210
cbabcacbaaababbcbcbabaacbbbaaaacbcabcacaacbabcaacaabaaabccbbcabbcbbcccbbbbacababbcaaaacaacbbcaacacacabcaaacbbabbabbbccbcabacbbbbaabcaaabbbaaacbbcaccbcabaabaacaaccacbcccbcacaccbb,177,0.248423000,0.003397000,248.423,3.397
aacbabccccaacccccaccbccacbccbccaacbbbbabaabcacaabaacaccacabbccccaacbbcbcbbcaabbcccabcaacbaaaabccabcacccbcacbbbcaabbaababaaaacabacbabaabccabbacbbaacacabbbcacccacabbbbbbcbccccbbacabbcbaabbbbcbababacbbcabccaaabbccaccabcbccabacbbacacacbcacaabccccabaabbbbacbbcbccbaabcccbbbcbaccbcabccaaabbccccaacccabaababbacaaababbabababaacbcabbcccaccababcbbacbaaacacbccabcbcaababcaaccbcbcabcccaabcccababbcaccccabaaabbccabbbaaabcbbbcbabbccbccbbbbbbbbcabaaccbbacbcabacabcbb,451,4.351070000,0.027381000,4351.070,27.381
bbbabababbcabcbbbabccbcbbbabacaabbaacbabcccabacbabccacbccbabcccbccbccbacbcccbbcbcbcbbaacccabcaacabcbaaacbaaabaabbbbcacccaccabcccbbcaccbaabbabbccbabbbaacccaaccababbbcbcbbbababbccabcbaabbacbbcbcaccacaabcbcbbaaaacacbabbcbcccabaccccbbbcaaabacabbacbcbacabccbaabccaacbcbcacbacccbbacabaacbbccbababbbbaccababbbacbbbbabcacacbbbabcbbbccabcbaaaccaaccbaccacaaaccbcccabaccabb,362,2.162468000,0.014681000,2162.468,14.681
abcbcbaabcaaababbbbbcccbbaccbcabbbabcbacbbabcbbacaacabbbbaacbcaaacccccababbbbcbbcacccacacaacaaacacacbbabbbcbbcabbaaccccbcaccabcbcaacaabccbbbabababbcaacabcaaaccabaacabbaaacaababacbbbaaccabbabacbcbabbcacbbbabbbbbcbbcbaccbabcbabacccabccbcbbcabbbbabcbaccbcaabacbaaacbbacacabcaaaabbccbbaaabbacaabbccbcccbcaacaabbccacccbcaccbccbcbabccabbacabccbcabaccaaabbbacbabbbbabcabbccccbbccbabbbcabaabccaaccabbcaabacabbacbbaababbbbaabbacacbaaaaaaccababcbcbbcabacacabcccabbbaccaccbcbc,465,4.589053000,0.028514000,4589.053,28.514
abcaacbacbbaacbbbbababcbacbaacbcabbaccbbbcacaaaaabbbbbaaabaabcccbcbcacaabacbabbabbbccbbcaaaaababcaacacaccbaccacbcaaaaacaacbcabababbccacabaccacbcccaccbabcbcbaacacccaabcccbaacbabaabaccbbaacabbbbcacccbbcacbbcaaccacbaacbbbaaccbabbbabacbcbbacbcacacaaaccaabacacacccaabbccaabccbbbcabaccbbabcbaacaaccabbaabaabbbbbcbbacaaaacbcacaabbcacccbccaabbbccacbbaa,344,1.766520000,0.015020000,1766.520,15.020
aabcbaaccabbcccacaabccbcbaccbaabcacabccaccccbcccbacacbcbbcaaabcaccbcaaabbaccbbcababbcacbcbaaabcaaabacacbcabaccaccababbaabcaaccbacccbbbbabcbbbbbaaccaccabbbaccbccabbcbaacabbcacacbcbbcbabcabbbbacbccbcacbbabaabccaaacbbacbccacacbbbaaaacbcaccccccbccbacbbcbcacccbcbcccbabcbbbabcbcbbccbabcbccbaaacbbbbabacacccaacabababbaccabaabccbbbacccaabacaacaacccbbaccacccbbaaabcbbacabcccccccacaaaaacbaacbaaaabbbcbaaacabaabcaaaaabbcaccacacaababacaccabbabbcbbccaacaacaacbbbabccabacccbabcccaacccbccbcaacacbaabb,486,5.470567000,0.030713000,5470.567,30.713
cbcaabcccabcbbbbbbcbbccbbaccbbaccabccbbbccccccccccccaccbcabbbcabcccbcaabcbcccbbccccaabacacccbabccac,99,0.043651000,0.000980000,43.651,0.980
baacbcaacabcabbaabaaacbcbbacbbccacaacccaaccaaabbccbcabcaacbabbaabbbcccbcaaabacbcabbbbaccacbaccbcbbbccabbbbbaccababaaabcaaaacbaabababcabacbbaaaacccababbbacababcbbcaaacaacaaacbbacabbcbcacaaccccbcacaabaabbbbacbbcabccaaaccbccbababbabcccccbabccbaccacbcbbaaacacabbabacbbcabbcbabbbaaaacbbbbbccaccaaacbbabcaacacbcbccbaccccbcbbaaabccbcbbaacbcbbbabccccacbccbbcacbbacaabcbcbcbcaacbababaccbbbcbababaabbcbbabbcbbaacabcbbbabacbcaccbccaccbbaccababcacacacb,440,3.902120000,0.026129000,3902.120,26.129
cbabacaacaacbbabcacaaaccacbacacbcbcaccccbcabcccabbacabaacbcbbbabcaccbaabaabcbabbbcabcaabacacbbbbacbccbbaccababcacbcabaacbcbcaabcbbbacaacaabaccacbcaaaabcbaacabaaaaaacccbcbcaaaabcaacabbaaaaaaaabcbacaacbaaaabccaababcbbcbbcbccacaacacbabcabbabccabccbaaabccacccbbbabbacabbccbaaacabbabcccccaacbacaccaccacacbacaccaabbcbbbcbbbcacccabccabccacaccbcbacccaccbbcacaaccbcbbbbcccbcabbcccabcabcbcbccabcbbcabcabccaacabbaccbaabcccbacccabcbacaacbaababbcabcacabaacccaabaababbaccaaaaccccacb,468,4.767256000,0.030372000,4767.256,30.372
acabcababbcaccaacbbaaacccaaaabbabcaacaaacaabccbbbaccbaccccabcaabbacabbabbaacbbcbbcacaaacabbbbbcaacccaaaccaababbbbcababcbcbcaaccaaabcbaacacbbcccccabababcbbabccaacacccbbcabacbabacbaccbacbbaacabb,192,0.300538000,0.003406000,300.538,3.406
bbcbcccacbaacccaacaaaccbbcaaabbcbbcccaabbcacaacabcaacbbcaabaac,62,0.011946000,0.000438000,11.946,0.438
ccbcbabbbcaaaacabaabcbcaabacacababccacccbbabacbaabaacaccbbbaacbcbbacccbacaccccccbcacbaabcacbbbccaabacbbabccccacaacbbaabaabcbaccbca,130,0.100122000,0.001832000,100.122,1.832
cbbabacaabccaaacbaacbacbcaccbabbccbbabccbaccbcccabccaccbaaaababcbacbacbbaabcbaabcabababcaabababcbcbcbaaabababbbaaacaccacbabbbaabaababaaacbabbacaacbbaaabaababcabbbbcbcbbcbccccabbcacaabbaccababccbcbcaabbccacbbbabbbcaaaabbcaaabbaaaccbbcaacaaaaccabbbaabacbcacaccbbacbaabccbbccccbccccccaabcaaabbacaacacccacbaabababbbccaccccaabcccacaacbcbaacbcbbbbcabaacccbbcbaabbccaabcabaabbbccaabbaacbcacacacaaacabcccbbccabbaccbccbbacbbbbbbccbbcccaababbccbcabaacacbaabcccabcbcbcbaabbbacb,466,4.714176000,0.028919000,4714.176,28.919
cbcccacbbacabaaaababaaabbbcaccaababababcbbbabcbaabaacaaabbccabccbcabbccaaaabacbaabcbbcababbccaabbcccbcaccccaabccbaabacbabaaccbcaacbbcaacabbabbccbccbbbacaabbbbaabcbcabbababcaabcabcaccabacaabbacccbcbaccccbabbbbabcbccbaabacaacbacabbaccaabcbcbbabcaccccababcabbcbbcccbaaaabbbcaccbbbbcacccbbabbcacaaccaacaacbccaccbbbbbcacacbbaccccaacbbcaabccccaacaabccacaabaacbbaaacccabbbbbaacabccabccbbbcaaaabbbacaabbba,397,2.771044000,0.019879000,2771.044,19.879
abaabaacccbcbbbbcaabcacacbacaaccabbbbbbbbccabbbacbcacbabcbbaccbcbbcabbcaccbcaccbacacbbbaacbabbbacacbaabbabbcababaccabcbbbbabccbbcbacaccccbcbabbcaccaaabbaabbcaabbacbacbccacbaabccacaabbbbcabcccbabcaacccbbbaacaabbbcbcccbbaabcbcbcbcccbabbabaaacaccbbbcaacababbcbcccbabbbccaccabcabacabbcccacacbcccccbbbbcaccbcabbcccbcbbaccbcbbabbbaccabab,331,1.576958000,0.012307000,1576.958,12.307
babbccbaaaaacccabaabababcbabcccbbbbbbacbaccbabcccbabaababaacaabcbbaccccaccbbaabccaabaacbacabbabcbbbbababaccababbabaacabcaccbcccbaccacaaacccaaccaacacbabcaabaccabcaabababbbaabcabccbbcbabcbbccbaabcbcabbccbbccbcbcabcacaacaacabcacbcabbcccccccacaaabcccaacaccbacaaaacacaabcacccbcabcccaabccbbaabbbbcbcabcbbacbbbbbbccccbbbacabbacacbbcbbaaababbcccbcaacbbbacbabbbaabbaaaaacaaaabbccacaaaaaaacbbbcabbcaababacabacabacacaabccaccabcaacccbbcccbbcccc,432,3.686974000,0.022751000,3686.974,22.751
cbabaaabbcaaccbcababbbaabacbabbabaabbcbbccabbbccbababbaaaabbabacccbabcbbcbbabcccabcabcacbccacaabbabbcbccacbcacacbaccabcbcbaccaacbbaccacabbccbacaabaccabaacbaacabcbbcccacccbacabaaabbacbcbacabcbabbcbacaaccbccbbbbacbbabbabbccccabacbccbbbacbabccaacabccccaccacacaccaabacbcbbccaabbcbabaaaabaaabaccaaabcaccbabaccccabbbbcbacaababbccabacbbcbabbbcaaccacbcbbbaacaacacbbaababcbbcbbbccabcbabaacbcbaaabbccabbbbaccbaabacaaacaaccbbbaacccacbbacaabcbababbbaaaacbcaccba,449,4.077143000,0.027971000,4077.143,27.971
bacbaabccabcacacabaabaaaaacabbbbbcbbbaabacaabbccccbaccbbacbbaaabaacaaacaacabccbabcbbacbccabaacbb,96,0.043005000,0.001024000,43.005,1.024
