$ /bin/python /home/gerardo/Proyectos/palindromo/main.py

263 : Tiempo A:  2.330861806869507 seg   Tiempo B: 0.015591621398925781
264 : Tiempo A:  1.5974044799804688e-05 seg      Tiempo B: 7.867813110351562e-06
265 : Tiempo A:  0.05398130416870117 seg         Tiempo B: 0.0012142658233642578
266 : Tiempo A:  0.18591713905334473 seg         Tiempo B: 0.0024411678314208984
267 : Tiempo A:  4.428476810455322 seg   Tiempo B: 0.028075218200683594
268 : Tiempo A:  0.2633180618286133 seg  Tiempo B: 0.0030558109283447266
269 : Tiempo A:  0.006314277648925781 seg        Tiempo B: 0.00030040740966796875
270 : Tiempo A:  1.1841044425964355 seg  Tiempo B: 0.00952005386352539
271 : Tiempo A:  0.14138126373291016 seg         Tiempo B: 0.0021092891693115234
272 : Tiempo A:  0.045342206954956055 seg        Tiempo B: 0.0011980533599853516
273 : Tiempo A:  1.6368706226348877 seg  Tiempo B: 0.01143503189086914
274 : Tiempo A:  0.6982200145721436 seg  Tiempo B: 0.006349086761474609
275 : Tiempo A:  0.15503597259521484 seg         Tiempo B: 0.0022497177124023438
276 : Tiempo A:  0.21762847900390625 seg         Tiempo B: 0.0028519630432128906
277 : Tiempo A:  0.031369924545288086 seg        Tiempo B: 0.000766754150390625
278 : Tiempo A:  5.544837474822998 seg   Tiempo B: 0.0328216552734375
279 : Tiempo A:  0.0015995502471923828 seg       Tiempo B: 0.00011610984802246094
280 : Tiempo A:  1.725205421447754 seg   Tiempo B: 0.012447595596313477
281 : Tiempo A:  0.0014514923095703125 seg       Tiempo B: 0.00011181831359863281
282 : Tiempo A:  2.16684627532959 seg    Tiempo B: 0.015532970428466797
283 : Tiempo A:  3.333225727081299 seg   Tiempo B: 0.02377176284790039
284 : Tiempo A:  0.01958632469177246 seg         Tiempo B: 0.0007042884826660156
285 : Tiempo A:  4.518995761871338 seg   Tiempo B: 0.026933670043945312
286 : Tiempo A:  0.0964195728302002 seg  Tiempo B: 0.0015943050384521484
287 : Tiempo A:  0.024491310119628906 seg        Tiempo B: 0.0006613731384277344
288 : Tiempo A:  0.0020172595977783203 seg       Tiempo B: 0.00013971328735351562
289 : Tiempo A:  0.10688066482543945 seg         Tiempo B: 0.0018606185913085938
290 : Tiempo A:  0.39223384857177734 seg         Tiempo B: 0.004227638244628906
291 : Tiempo A:  1.0585103034973145 seg  Tiempo B: 0.008927345275878906
292 : Tiempo A:  0.18830347061157227 seg         Tiempo B: 0.002526998519897461
293 : Tiempo A:  0.03615713119506836 seg         Tiempo B: 0.0008609294891357422
294 : Tiempo A:  1.6535532474517822 seg  Tiempo B: 0.013938426971435547
295 : Tiempo A:  0.38861703872680664 seg         Tiempo B: 0.00483393669128418
296 : Tiempo A:  0.1423020362854004 seg  Tiempo B: 0.002409219741821289
297 : Tiempo A:  1.1018362045288086 seg  Tiempo B: 0.008669614791870117
298 : Tiempo A:  4.6592864990234375 seg  Tiempo B: 0.027904748916625977
299 : Tiempo A:  0.0015606880187988281 seg       Tiempo B: 0.00011706352233886719
300 : Tiempo A:  0.27411794662475586 seg         Tiempo B: 0.0040857791900634766
301 : Tiempo A:  2.463623523712158 seg   Tiempo B: 0.017594099044799805
302 : Tiempo A:  0.012996673583984375 seg        Tiempo B: 0.0006170272827148438
303 : Tiempo A:  1.0469839572906494 seg  Tiempo B: 0.008663415908813477
304 : Tiempo A:  2.716132402420044 seg   Tiempo B: 0.020902633666992188
305 : Tiempo A:  3.00612473487854 seg    Tiempo B: 0.02049994468688965
306 : Tiempo A:  5.602836608886719e-05 seg       Tiempo B: 1.4781951904296875e-05
307 : Tiempo A:  2.8369154930114746 seg  Tiempo B: 0.019371509552001953
308 : Tiempo A:  4.811933755874634 seg   Tiempo B: 0.0283663272857666
